date,close
2014-01-02,72.1765
2014-01-03,70.5911
2014-01-06,70.976
2014-01-07,70.4681
2014-01-08,70.9147
2014-01-09,70.009
2014-01-10,69.5419
2014-01-13,69.906
2014-01-14,71.297
2014-01-15,72.7284
2014-01-16,72.3226
2014-01-17,70.5506
2014-01-21,71.6467
2014-01-22,71.9651
2014-01-23,72.5745
2014-01-24,71.2552
2014-01-27,71.8333
2014-01-28,66.0919
2014-01-29,65.3416
2014-01-30,65.2152
2014-01-31,65.322
2014-02-03,65.4433
2014-02-04,66.3907
2014-02-05,66.8865
2014-02-06,67.2741
2014-02-07,68.2152
2014-02-10,69.4373
2014-02-11,70.3522
2014-02-12,70.347
2014-02-13,71.464
2014-02-14,71.4063
2014-02-18,71.6688
2014-02-19,70.5373
2014-02-20,69.7208
2014-02-21,68.9464
2014-02-24,69.2483
2014-02-25,68.5276
2014-02-26,67.9094
2014-02-27,69.264
2014-02-28,69.0763
2014-03-03,69.2758
2014-03-04,69.7326
2014-03-05,69.8797
2014-03-06,69.6683
2014-03-07,69.6276
2014-03-10,69.6906
2014-03-11,70.3693
2014-03-12,70.4375
2014-03-13,69.6552
2014-03-14,68.8729
2014-03-17,69.142
2014-03-18,69.7536
2014-03-19,69.7353
2014-03-20,69.3992
2014-03-21,69.9466
2014-03-24,70.7762
2014-03-25,71.5375
2014-03-26,70.8536
2014-03-27,70.5491
2014-03-28,70.4703
2014-03-31,70.4546
2014-04-01,71.0991
2014-04-02,71.2172
2014-04-03,70.7237
2014-04-04,69.8088
2014-04-07,68.7127
2014-04-08,68.7088
2014-04-09,69.6119
2014-04-10,68.714
2014-04-11,68.206
2014-04-14,68.4778
2014-04-15,67.9894
2014-04-16,68.1273
2014-04-17,68.9057
2014-04-21,69.7235
2014-04-22,69.7929
2014-04-23,68.8807
2014-04-24,74.5277
2014-04-25,75.0751
2014-04-28,77.9826
2014-04-29,77.7516
2014-04-30,77.4575
2014-05-01,77.64
2014-05-02,77.7844
2014-05-05,78.8844
2014-05-06,78.0246
2014-05-07,77.7516
2014-05-08,77.6137
2014-05-09,77.2907
2014-05-12,78.2526
2014-05-13,78.3754
2014-05-14,78.3899
2014-05-15,77.7233
2014-05-16,78.8704
2014-05-19,79.8049
2014-05-20,79.8207
2014-05-21,80.0319
2014-05-22,80.1587
2014-05-23,81.0642
2014-05-27,82.5821
2014-05-28,82.3683
2014-05-29,83.8691
2014-05-30,83.555
2014-06-02,82.9808
2014-06-03,84.1542
2014-06-04,85.1152
2014-06-05,85.4492
2014-06-06,85.2142
2014-06-09,86.5778
2014-06-10,87.086
2014-06-11,86.7257
2014-06-12,85.275
2014-06-13,84.3418
2014-06-16,85.1918
2014-06-17,85.081
2014-06-18,85.1734
2014-06-19,84.8777
2014-06-20,83.9999
2014-06-23,83.926
2014-06-24,83.4178
2014-06-25,83.4917
2014-06-26,83.9907
2014-06-27,84.9886
2014-06-30,85.8664
2014-07-01,86.4115
2014-07-02,86.3745
2014-07-03,86.8827
2014-07-07,88.6734
2014-07-08,88.1024
2014-07-09,88.1394
2014-07-10,87.8114
2014-07-11,87.9823
2014-07-14,89.1188
2014-07-15,88.0747
2014-07-16,87.5757
2014-07-17,86.0141
2014-07-18,87.2523
2014-07-21,86.7987
2014-07-22,87.5203
2014-07-23,89.8025
2014-07-24,89.6547
2014-07-25,90.247
2014-07-28,91.4935
2014-07-29,90.9021
2014-07-30,90.6896
2014-07-31,88.3334
2014-08-01,88.8231
2014-08-04,88.3242
2014-08-05,87.8899
2014-08-06,87.7421
2014-08-07,87.7328
2014-08-08,87.9742
2014-08-11,89.135
2014-08-12,89.1164
2014-08-13,90.2957
2014-08-14,90.5371
2014-08-15,90.9829
2014-08-18,92.0786
2014-08-19,93.3508
2014-08-20,93.3879
2014-08-21,93.3972
2014-08-22,94.0843
2014-08-25,94.2886
2014-08-26,93.6841
2014-08-27,94.8365
2014-08-28,94.9479
2014-08-29,95.1801
2014-09-02,95.9229
2014-09-03,91.8743
2014-09-04,91.1129
2014-09-05,91.9022
2014-09-08,91.3357
2014-09-09,90.9921
2014-09-10,93.7872
2014-09-11,94.1865
2014-09-12,94.4001
2014-09-15,94.3722
2014-09-16,93.6572
2014-09-17,94.3258
2014-09-18,94.5208
2014-09-19,93.7501
2014-09-22,93.8429
2014-09-23,95.3101
2014-09-24,94.4836
2014-09-25,90.8807
2014-09-26,93.555
2014-09-29,92.9608
2014-09-30,93.555
2014-10-01,92.0972
2014-10-02,92.7657
2014-10-03,92.5057
2014-10-06,92.5057
2014-10-07,91.6979
2014-10-08,93.6015
2014-10-09,93.8058
2014-10-10,93.5365
2014-10-13,92.6822
2014-10-14,91.6979
2014-10-15,90.5743
2014-10-16,89.3857
2014-10-17,90.695
2014-10-20,92.6357
